title,description,curriculum
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.","Navigating LLM Tradeoffs: Introduction, Resources, Technique to Increase Accuracy, Training Speed and Cost Optimization, Inference Speed and Cost Optimization, Scale"
Nano Course: Cutting Edge LLM Tricks,"In this free nano GenAI course onCutting Edge LLM Tricks, you will-Learn latest LLM tricks and techniques from top research papersApply the LLM tricks in building State-Art-Of-The-Art (SOTA) LLMsRecap of LLM journey, building blocks of LLMs and LLM Stack.","Cutting Edge LLM Tricks: Introduction, Recap of LLMs, Building Blocks of LLMs, Applying LLMs in Practise, LIMA- Less is More Alignment, Distil Step by Step, Instruction BackTranslation, Textbooks are all you Need, Sycophancy-Reducing False answers, Gorilla- Helping LLMs follow APIs, ToolLLMs, Summary"
Big Mart Sales Prediction Using R,"Sales prediction is a very common real life problem that each company faces at least once in its life time. If done correctly, it can have a significant impact on the success and performance of that company.In this course you will be working on the Big Mart Sales Prediction Challenge.The course will equip you with the skills and techniques required to solve regression problems in R. You will be provided with sufficient theory and practice material to hone your predictive modeling skills.This course assumes that you have familiarity with R.","Big Mart Sales: Overview of the Course, Table of contents, Problem Statement, Hypothesis Generation, Loading Packages and Data, Understanding the Data, Univariate Analysis, Bivariate Analysis, Missing Value Treatment, Feature Engineering, Encoding Categorical Variables, PreProcessing Data, Model Building, Linear Regression, Regularized Linear Regression, Random Forest, XGBoost, Summary, AI&ML Blackbelt Plus Program (Sponsored)"
Exploring Natural Language Processing (NLP) using Deep Learning,"Natural Language Processing (NLP) is the hottest field in the data science space right now. The demand for NLP experts and data scientists is through the roof.We have seen a remarkable rise in the amount of research and breakthroughs in NLP recently. We can trace this recent rise to one (seismic) paper – “Attention is All You Need” by Google AI. This breakthrough has spawned so many new and exciting NLP libraries that enable us to work with text in ways that were previously limited to our imagination (or Hollywood).These NLP deep learning developments have spawned some mind-boggling applications. We’re sure you’ve already interacted with and used some of them yourself:Here’s a quick list of the latest Natural Language Processing concepts in deep learning every NLP expert and even enthusiast should know:These are key NLP deep learning concepts you should master if you want to successfully navigate through the NLP goldmine.Every once in a while, there comes a library or framework that reshapes and reimagines how we look at the field of deep learning.We can safely say that PyTorch is on that list of deep learning frameworks. It has helped accelerate the research that goes into deep learning models by making them computationally faster and less expensive (a data scientist’s dream!).You will love working with PyTorch for NLP tasks like building language models and creating deep learning powered chatbots. You will quickly find yourself leaning on PyTorch’s flexibility and efficiency quite often for NLP.Recent Developments in NLPRecent Developments in NLPIn the past couple of years, the amount of research and breakthroughs in NLP has skyrocketed. Now every month we get to see state-of-the-art NLP models and architectures.In the past couple of years, the amount of research and breakthroughs in NLP has skyrocketed. Now every month we get to see state-of-the-art NLP models and architectures.This incredible rise of NLP can be traced back to the paper – “Attention is All You Need” by Google AI in June 2017. This breakthrough has spawned so many new and exciting NLP models and some key developments are listed below:This incredible rise of NLP can be traced back to the paper – “Attention is All You Need” by Google AI in June 2017. This breakthrough has spawned so many new and exciting NLP models and some key developments are listed below:Transformer Architecture- It achieved state-of-the-art status on sequence modeling tasks. It can handle long-range dependencies in text with easeTransformer Architecture- It achieved state-of-the-art status on sequence modeling tasks. It can handle long-range dependencies in text with easeBERT- This architecture by Google took the Transformer a notch higher and achieved state-of-the-art performance in Language ModelingBERT- This architecture by Google took the Transformer a notch higher and achieved state-of-the-art performance in Language ModelingGPT and GPT 2- OpenAI’s GPT was state-of-the-art language model till BERT toppled it from the top spot and soon they launched GPT 2 a colossal language model which was trained on many GB’s of text scraped from the webGPT and GPT 2- OpenAI’s GPT was state-of-the-art language model till BERT toppled it from the top spot and soon they launched GPT 2 a colossal language model which was trained on many GB’s of text scraped from the webTransformers Library- This amazing library by Huggingface has democratized the use of Transformers. It has a large number of Transformer based pre-trained models that can also be fine-tuned.Transformers Library- This amazing library by Huggingface has democratized the use of Transformers. It has a large number of Transformer based pre-trained models that can also be fine-tuned.In the modules given below, all the projects will be implemented using PyTorch.In the modules given below, all the projects will be implemented using PyTorch.Language ModelingLanguage ModelingIn this module, you will understand a very important sequence modeling task that is known as language modeling. This is the main ingredient in many modern NLP tasks such as machine translation, text summarization, speech recognition, etc.In this module, you will understand a very important sequence modeling task that is known as language modeling. This is the main ingredient in many modern NLP tasks such as machine translation, text summarization, speech recognition, etc.Project: Building an Autocomplete SystemProject: Building an Autocomplete SystemIn this project, you will train a Language Model from scratch and use it to automatically give next word suggestions to an input text. You will use PyTorch to implement this project.In this project, you will train a Language Model from scratch and use it to automatically give next word suggestions to an input text. You will use PyTorch to implement this project.Sequence-to-Sequence ModelingSequence-to-Sequence ModelingOnce you are familiar with the language model, you will learn about the sequence-to-sequence models wherein both the input and the output are sequences of different lengths. You will also get a thorough understanding of the architecture along with the attention mechanism.Once you are familiar with the language model, you will learn about the sequence-to-sequence models wherein both the input and the output are sequences of different lengths. You will also get a thorough understanding of the architecture along with the attention mechanism.Project: Neural Machine TranslationProject: Neural Machine TranslationIn this project you will get to apply sequence-to-sequence modeling to build a deep learning model to translate one language to another automatically.In this project you will get to apply sequence-to-sequence modeling to build a deep learning model to translate one language to another automatically.Transformers and Transfer Learning in NLPTransformers and Transfer Learning in NLPThe next step in your journey is the Transformer. In this module, you will understand the Transformers models in detail. You will also learn how Transformers are used to perform transfer learning in NLP. You will get to use the Transformers library by Huggingface.The next step in your journey is the Transformer. In this module, you will understand the Transformers models in detail. You will also learn how Transformers are used to perform transfer learning in NLP. You will get to use the Transformers library by Huggingface.Project: Text Classification using TransformersProject: Text Classification using TransformersYou will fine-tune a pre-trained Transformer model to perform text classification on a new dataset. The domain of the new dataset will be different from that of the dataset on which the Transformer was trained.You will fine-tune a pre-trained Transformer model to perform text classification on a new dataset. The domain of the new dataset will be different from that of the dataset on which the Transformer was trained.Project: Build a Dialog System using RASAProject: Build a Dialog System using RASAConversational agents or chatbots have been instrumental in across several industries. In this project you will build a chatbot using RASA, an open source. You will also learn to deploy the chatbot in slack.Conversational agents or chatbots have been instrumental in across several industries. In this project you will build a chatbot using RASA, an open source. You will also learn to deploy the chatbot in slack.Project: Build a Voice Command SystemProject: Build a Voice Command SystemIn this project you will not only use text data but audio data as well. The objective of this project is to build a deep learning system to convert a speech input to text. It can be used for tasks such as controlling home automation systems by just a few voice commands.In this project you will not only use text data but audio data as well. The objective of this project is to build a deep learning system to convert a speech input to text. It can be used for tasks such as controlling home automation systems by just a few voice commands.",
Machine Learning Certification Course for Beginners,"Machine Learning is the science of teaching machines how to learn by themselves. Machine Learning is reshaping and revolutionizing the world and disrupting industries and job functions globally.Machine learning is so extensive that you probably use it numerous times a day without knowing it. From unlocking your mobile phones using your face to giving your attendance using a biometric machine, machine learning is being used in almost every stage.In this age of machine learning, every aspiring data scientist is expected to upskill themselves in machine learning techniques & tools and apply them to real-world business problems.This course requires no prior knowledge of Data Science or any tool.","Overview of the Course: AI&ML Blackbelt Plus Program (Sponsored);Introduction to Data Science and Machine Learning: Overview of Machine Learning / Data Science, Common Terminology used in Data Science, Applications of Data Science;Setting up your system: Installation steps for Windows, Installation steps for Linux, Installation steps for Mac;Introduction to Python: Introduction to Python, Introduction to Jupyter Notebook, Download Python Module Handouts;Variables and Data Types: Introduction to Variables, Implementing Variables in Python;Operators: Introduction to Operators, Implementing Operators in Python, Quiz: Operators;Conditional Statements: Introduction to Conditional Statements, Implementing Conditional Statements in Python, Quiz: Conditional Statements;Looping Constructs: Introduction to Looping Constructs, Implementing Loops in Python, Quiz: Loops in Python, Break, Continue and Pass Statements, Quiz: Break, Continue and Pass Statement;Data Structures: Introduction to Data Structures, List and Tuple, Implementing List in Pyhton, Quiz: Lists, List - Project in Python, Implementing Tuple in Python, Quiz: Tuple, Introduction to Sets, Implementing Sets in Python, Quiz: Sets, Introduction to Dictionary, Implementing Dictionary in Python, Quiz: Dictionary;String Manipulation: Introduction to String Manipulation, Quiz: String Manipulation;Functions: Introduction to Functions, Implementing Functions in Python, Quiz: Functions in Python, Lambda Expression, Quiz: Lambda Expressions, Recursion, Implementing Recursion in Python, Quiz: Recursion;Modules, Packages and Standard Libraries: Introduction to Modules, Modules: Intuition, Introduction to Packages, Standard Libraries in Python, User Defined Libraries in Python, Quiz:  Modules, Packages and Standard Libraries;Handling Text Files in Python: Handling Text Files in Python, Quiz: Handling Text Files;Introduction to Python Libraries for Data Science: Important Libraries for Data Science, Quiz: Important Libraries for Data Science;Python Libraries for Data Science: Basics of Numpy in Python, Basics of Scipy in Python, Quiz: Numpy and Scipy, Basics of Pandas in Python, Quiz: Pandas, Basics of Matplotlib in Python, Basics of Scikit-Learn in Python, Basics of Statsmodels in Python;Reading Data Files in Python: Reading Data in Python, Reading CSV files in Python, Reading Big CSV Files in Python, Quiz: Reading CSV files in Python, Reading Excel & Spreadsheet files in Python, Quiz: Reading Excel & Spreadsheet files in Python, Reading JSON files in Python, Quiz: Reading JSON files in Python;Preprocessing, Subsetting and Modifying Pandas Dataframes: Subsetting and Modifying Data in Python, Overview of Subsetting in Pandas I, Overview of Subsetting in Pandas II, Subsetting based on Position, Subsetting based on Label, Subsetting based on Value, Quiz: Subsetting Dataframes, Modifying data in Pandas, Quiz: Modifying Dataframes;Sorting and Aggregating Data in Pandas: Preprocessing, Sorting and Aggregating Data, Sorting the Dataframe, Quiz:  Sorting Dataframes, Concatenating Dataframes in Pandas, Concept of SQL-Like Joins in Pandas, Implementing SQL-Like Joins in Pandas, Quiz: Joins in Pandas, Aggregating and Summarizing Dataframes, Preprocessing Timeseries Data, Quiz: Preprocessing Timeseries Data;Visualizing Patterns and Trends in Data: Visualizing Trends & Pattern in Data, Basics of Matplotlib, Data Visualization with Matplotlib, Quiz: Matplotlib, Basics of Seaborn, Data Visualization with Seaborn, Quiz: Seaborn;Machine Learning Lifecycle: 6 Steps of Machine Learning Lifecycle, Introduction to Predictive Modeling;Problem statement and Hypothesis Generation: Defining the Problem statement, Introduction to Hypothesis Generation, Performing Hypothesis generation, Quiz - Performing Hypothesis generation, List of hypothesis, Data Collection/Extraction, Quiz - Data Collection/Extraction;Importance of Stats and EDA: Introduction to Exploratory Data Analysis & Data Insights, Quiz -  Introduction to Exploratory Data Analysis & Data Insights, Role of Statistics in EDA, Descriptive Statistics, Inferential Statistics, Quiz - Descriptive and Inferential Statistics;Build Your First Predictive Model: Quiz: Build a Benchmark Model - Regression, Benchmark Model: Regression Implementation, Quiz: Benchmark Model - Regression Implementation, Build a Benchmark Model: Classification, Quiz: Build a Benchmark Model - Classification, Benchmark Model: Classification Implementation, Quiz: Benchmark - Classification Implementation;Evaluation Metrics: Introduction to Evaluation Metrics, Quiz: Introduction to Evaluation Metrics, Confusion Matrix, Quiz: Confusion Matrix, Accuracy, Quiz: Accuracy, Alternatives of Accuracy, Quiz: Alternatives of Accuracy, Precision and Recall, Quiz: Precision and Recall, Thresholding, Quiz: Thresholding, AUC-ROC, Quiz: AUC-ROC, Log loss, Quiz: Log loss, Evaluation Metrics for Regression, Quiz: Evaluation Metrics for Regression, R2 and Adjusted R2, Quiz: R2 and Adjusted R2;Preprocessing Data: Dealing with Missing Values in the Data, Quiz: Dealing with missing values in the data, Replacing Missing Values, Quiz: Replacing Missing values, Imputing Missing Values in data, Quiz: Imputing Missing values in data, Working with Categorical Variables, Quiz: Working with categorical data, Working with Outliers, Quiz: Working with outliers, Preprocessing Data for Model Building;Build Your First ML Model: k-NN: Building a kNN model, Quiz: Building a kNN model, Determining right value of k, Quiz: Determining right value of k, How to calculate the distance, Quiz: How to calculate the distance, Issue with distance based algorithms, Quiz: Issue with distance based algorithms, Introduction to sklearn, Implementing k-Nearest Neighbours algorithm, Quiz: Implementing k-Nearest Neighbours algorithm;Selecting the Right Model: Introduction to Overfitting and Underfitting Models, Quiz: Introduction to Overfitting and Underfitting Models, Visualizing overfitting and underfitting using knn, Quiz: Visualizing overfitting and underfitting using knn, Selecting the Right Model, What is Validation?, Quiz: What is Validation, Understanding Hold-Out Validation, Quiz: Understanding Hold-Out Validation, Implementing Hold-Out Validation, Quiz: Implementing Hold-Out Validation, Understanding k-fold Cross Validation, Implementing k-fold Cross Validation, Quiz: Understanding k-fold Cross Validation, Quiz: Implementing k-fold Cross Validation, Bias Variance Tradeoff, Quiz: Bias Variance Tradeoff;Linear Models: Introduction to Linear Models, Quiz: Introduction to linear model, Understanding Cost function, Quiz: Understanding Cost function, Understanding Gradient descent (Intuition), Maths behind gradient descent, Convexity of cost function, Quiz: Convexity of Cost function, Quiz: Gradient Descent, Assumptions of Linear Regression, Quiz: Assumptions of linear model, Implementing Linear Regression, Generalized Linear Models, Quiz: Generalized Linear Models, Introduction to Logistic Regression, Quiz: Introduction to logistic regression, Quiz: Logistic Regression, Odds Ratio, Implementing Logistic Regression, Multiclass using Logistic Regression, Quiz: Multi-Class Logistic Regression, Challenges with Linear Regression, Quiz: Challenges with Linear regression, Introduction to Regularisation, Quiz: Introduction to Regularization, Implementing Regularisation, Coefficient estimate for ridge and lasso (Optional);Project: Customer Churn Prediction: Predicting whether a customer will churn or not;Decision Tree: Introduction to Decision Trees, Quiz: Introduction to Decision Trees, Purity in Decision Trees, Quiz: Purity in Decision Trees, Terminologies Related to Decision Trees, Quiz: Terminologies Related to Decision Trees, How to Select the Best Split Point in Decision Trees, Quiz: How to Select the Best Split Point in Decision Trees, Chi-Square, Quiz: Chi-Square, Information Gain, Quiz: Information Gain, Reduction in Variance, Quiz: Reduction in Variance, Optimizing Performance of Decision Trees, Quiz: Optimizing Performance of Decision Trees, Decision Tree Implementation;Feature Engineering: Introduction to Feature Engineering, Quiz: Introduction to feature engineering, Exercise on Feature Engineering, Overview of the module, Feature Transformation, Quiz: Feature Transformation, Feature Scaling, Quiz: Feature Scaling, Feature Encoding, Quiz: Feature Encoding, Combining Sparse classes, Quiz: Combining Sparse classes, Feature Generation: Binning, Quiz: Feature Generation- Binning, Feature Interaction, Quiz: Feature Interaction, Generating Features: Missing Values, Frequency Encoding, Quiz: Frequency Encoding, Feature Engineering: Date Time Features, Implementing DateTime Features, Quiz: Implementing DateTime Features, Automated Feature Engineering : Feature Tools, Implementing Feature tools, Quiz: Implementing Feature Tools;Project: NYC Taxi Trip Duration prediction: Exploring the NYC dataset, Predicting the NYC taxi trip duration, Predicting the NYC taxi trip duration"
Introductory Data Science for Business Managers,"The data science revolution is well and truly disrupting multiple and diverse industries. It has become the centerpiece of strategic decision making for organizations. Are you prepared to enable it for your business and your current role?There is a serious shortage of decision-makers in the data science universe. While projects are springing up everywhere, the managers and leaders required to guide and mentor data science teams are rare to find.Data Science for Managers is a thoughtfully curated program designed especially for decision-makers. Whether you’re a manager, team leader, CxO or entrepreneur, you NEED to be data science educated. And this is the perfect program to get you there.You will get access to three of the most comprehensive courses in this certified program. Enable yourself, and your business, to be ready for the Artificial Intelligence revolution!Key Takeaways from Certified Program: Introductory Data Science for Business ManagersWhy you should take this certified program?Prerequisites ofCertified Program: Introductory Data Science for Business ManagersThis program requires no past knowledge about Data Science or any tool.",
Certified Business Analytics Program,"With increase in data generated across the globe, thedemand for Business Analytics professionals is rising continuously.In short, aiming for a role in Business Analytics has never been a better career choice!Certified Business Analytics Program aims toprovide you all the tools and techniques, along with hands on experienceyou need to succeed as a Business Analytics professional.This program covers tools likeExcel, Tableau, SQL, Python and covers all the techniques like Statistics and Exploratory Data Analysis. The program also covers Predictive modeling and basics ofMachine Learning.More importantly, the program helps you prepare your Resume, prepares you for Business Analytics Interviews and provides one on one mentorship during the program.Business Analytics is a vast field encompassing multiple job roles and industry functions. In 2020, the job prospects for anyone involved (or wanting to get involved) in the field of business analytics are brighter than ever before!Professionals with both analytical skills and business acumen (the two pillars of business analytics) are sought after in all industries in numerous and diverse roles. Organizations around the world are continuing to invest heavily in business analytics projects and subsequently are on the search for people who can fill these roles.",
Introduction to Web Scraping using Python,"The need and importance of extracting data from the web is becoming increasingly loud and clear. There is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models.That’s a key reason why data scientists are expected to be familiar with web scraping.We have found web scraping to be a very helpful technique for gathering data from multiple websites. Some websites these days also provide APIs for many different types of data you might want to use, such as Tweets or LinkedIn posts.But there might be occasions when you need to collect data from a website that does not provide a specific API. This is where having the ability to perform web scraping comes in handy. As a data scientist, you can code a simple Python script and extract the data you’re looking for.So knowing how to perform web scraping using Python will help you go a long way towards becoming a resourceful data scientist. Are you ready to take the next step and dive in?A note of caution here – web scraping is subject to a lot of guidelines and rules. Not every website allows the user to scrape content so there are certain legal restrictions at play. Always ensure you read the website’s terms and conditions on web scraping before you attempt to do it.In this course, we will dive into the basics of web scraping using Python. We will understand what web scraping is, the different Python libraries for performing web scraping, and finally we’ll implement web scraping using Python in a real-world project. There’s a lot to unpack here so enroll today and start learning!We’re sure you’ve asked these questions before. Even if you haven’t, you should start learning how these web scraping questions should be answered:You’ll learn about these concepts inside the course and we have even provided a high-level overview of these questions after the course curriculum below.Who is the Introduction to Web Scraping using Python Course for?This course is for anyone who:What do you need to get started with the Introduction to Web Scraping using Python course?Here’s what you’ll need:That’s it! You’re all set to perform web scraping on your machine!What is web scraping?Web scraping is a computer software technique of extracting information from websites. This technique mostly focuses on the transformation of unstructured data (HTML format) on the web into structured data (database or spreadsheet).You can perform web scraping in various ways, including use of Google Docs to almost every programming language.Why should you learn web scraping?Web scraping is incredibly useful when you don’t have enough data with you to train a machine learning model. Web scraping helps us to collect this data from websites (if permitted) and we can then use that to train our model. You can imagine why web scraping is such a prized tool in a data scientist’s arsenal!Why Python for web scraping?Python is the most popular tool out there in the world for Web Scraping. Its 2 prominent libraries - BeautifulSoup and Scrapy makes web scraping easy and efficient. Python’s syntax makes understanding of the codes easy. Also python provides many other libraries for web scraping which can be used as per our needs. Eg- lxml, requests etcWhat are the different Python libraries for performing web scraping?There are many libraries in Python that help us to scrape the web. The 3 most prominent libraries include:Can I use R for web scraping?You sure can! You can perform web scraping in both Python and R. We are teaching you how to do this using Python in the course but feel free to use R if that’s your language of choice. You can go throughthis tutorialthat walks you through how to master web scraping using an R package called rvest.Are web scraping concepts asked in data science/machine learning interviews?This depends a lot on the data science role and the organization you’re interviewing for. Not all organizations require you to know or apply web scraping. But here’s why you should learn it anyway - it will help you expand your skillset and also help you work on your personal projects for data science. There’s a lot to learn and nothing to lose!","Introduction to Web Scraping: What is Web Scraping?, Caution, Popular Libraries for Web Scraping, Components of Web Scraping, AI&ML Blackbelt Plus Program (Sponsored);Web Scraping: Procedure: Problem Setup, Step 1: Crawl, Step 2: Parse and Transform, Step 3: Store the Data;Scraping URLs and Email IDs from a Web Page: Single Webpage Scraping, Multiple Webpage Scraping(BeautifulSoup and Regex);Scrape Images in Python: Scrape Images in Python;Scrape Data on Page Load: Scarpe Data on Page Load"
Certified Natural Language Processing Master’s Program,"Natural Language Processing (NLP) is one of the fastest growing field within Artificial Intelligence. It enables machines to understand information contained in any text.NLP bridges the gap between the abstract but omnipresent human languages with concise and concrete programming languages. As more and more organizations invest in data - they would need NLP experts.This comprehensive program empowers you to become an NLP practitioner, even if you are a beginner and have no prior knowledge of the concepts.Download Brochure",
Writing Powerful Data Science Articles,"""Either write something worth reading or do something worth writing."" - Benjamin FranklinThe best way to learn any concept, especially in data science, is by writing about it. That not only helps you understand what you learned in more detail, but sharing it with the community helps others understand how a particular data science idea works.But here’s the thing - most people want to write, but just can’t get past the initial challenges. This might sound familiar to a lot of people:If you’ve ever asked yourself these questions, you’ll find the answers in this free crash course on how to write impactful and awesome data science articles!This free crash course on writing powerful data science articles is conducted over two sessions of 1-hour each. Here’s the agenda for both sessions:Session 1: How to Write Powerful Data Science ArticlesThis is where it all begins!Session 2: Best Practices - Writing Articles that Grab your Reader’s AttentionThis is where we bring it all together.","Welcome to the Data Science Writing Crash Course!: Why did we create this course?, AI&ML Blackbelt Plus Program (Sponsored);Crash Course - How to Write Powerful Data Science Articles: Session #1 - How to Write Powerful and Impactful Data Science Articles, Session #2 - Writing Data Science Articles that Grab your Reader's Attention;Expert Talk: Writing Powerful Data Science Articles with Parul Pandey: Expert Talk: Parul Pandey on Writing Powerful Data Science Articles;Next Steps...: Congrats! Here's what's next"
